Ref,Val,Package,PosX,PosY,Rot,Side
"C3","CL31A106MAHNNNE","CAP_CL31_SAM",174.042200,-62.170900,180.000000,top
"C4","10nF_0603","CAPC1608X90",171.695000,-65.445899,-90.000000,top
"C5","CC0805ZRY5V7BB104","CAP_CC0805_YAG-L",179.070000,-67.220899,-90.000000,top
"C6","CC0603KRX7R9BB272","CAPC1608X90",176.295001,-72.770900,90.000000,top
"C8","22uF_1210","CAPC3225X270N",169.969999,-76.815899,90.000000,top
"C9","22uF_1210","CAPC3225X270N",173.270000,-76.815899,90.000000,top
"C11","22uF_1210","CAPC3225X270N",176.545000,-76.820900,90.000000,top
"C12","100nF_0805_100V","RC0805N_YAG",194.450000,-70.200000,180.000000,top
"C21","GRM21BR71A106KA73L","CAP_GRM21_2p15X1p4X1p4_MUR",181.450000,-58.451700,90.000000,top
"IC1","RT9742GGJ5","SOT94P280X100-5N",174.000000,-82.900000,0.000000,top
"J1","15 Pin","CON15_1X15_DRB_SFW_FCI",179.125000,-92.875000,0.000000,top
"J2","B3B-XH-A","JST_B3B-XH-A",174.050000,-56.800000,0.000000,top
"J3","TSW-104-07-F-D","TSW-104-07-G-D_SAI",205.385000,-55.150000,-90.000000,top
"J4","61300411121","CONN_61300411121_WRE",202.150000,-73.670000,90.000000,top
"J5","TSW-104-07-F-D","TSW-104-07-G-D_SAI",205.385000,-66.120000,-90.000000,top
"J6","Micro_SD_Card_Det1","SDCARD_MOLEX_503398-1892",189.525000,-61.025000,0.000000,top
"J7","1054500101","MOLEX_1054500101",195.125000,-96.400000,0.000000,top
"J8","TSW-104-07-F-D","TSW-104-07-G-D_SAI",205.385000,-76.995000,-90.000000,top
"J9","TSW-104-07-F-D","TSW-104-07-G-D_SAI",205.385000,-87.880000,-90.000000,top
"J10","61300411121","CONN_61300411121_WRE",202.125000,-87.850000,-90.000000,top
"J11","61300411121","CONN_61300411121_WRE",202.125000,-76.950000,-90.000000,top
"J12","61300411121","CONN_61300411121_WRE",202.150000,-62.770000,90.000000,top
"L2","NR8040T3R6N","IND_TAIYO_NR8040_TAY",182.573300,-73.425000,90.000000,top
"Module1","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module",116.650000,-57.075000,-90.000000,top
"R1","RC0402JR-0710KL","RC0402N_YAG",172.050000,-85.550000,0.000000,top
"R2","RG1608P-512-B-T5","RES_0816_SUS",193.026600,-86.600000,180.000000,top
"R3","15.8k_0805","RESC2012X60N",174.520000,-72.720900,90.000000,top
"R4","RC0805FR-07115KL","RC0805N_YAG-M",171.595000,-71.720901,90.000000,top
"R6","RG1608P-512-B-T5","RES_0816_SUS",197.073400,-86.650000,180.000000,top
"R12","RC1206FR-0722K1L","RC1206N_YAG-L",170.449600,-68.420900,180.000000,top
"R13","RC0402JR-0710KL","RC0402N_YAG",181.373300,-83.874999,-90.000000,top
"R14","RC0402JR-0710KL","RC0402N_YAG",180.198300,-83.874999,-90.000000,top
"R15","RC0402JR-0710KL","RC0402N_YAG",184.898300,-81.450000,-90.000000,top
"R16","RC0402JR-0710KL","RC0402N_YAG",181.373301,-81.424999,-90.000000,top
"R17","RC0402JR-0710KL","RC0402N_YAG",182.548301,-83.874999,-90.000000,top
"R18","RC0402JR-0710KL","RC0402N_YAG",183.723300,-83.874999,-90.000000,top
"R19","RC0402JR-0710KL","RC0402N_YAG",184.898300,-83.899999,-90.000000,top
"R21","RC0402JR-0710KL","RC0402N_YAG",183.723301,-81.441199,-90.000000,top
"R22","RC0402JR-0710KL","RC0402N_YAG",180.198300,-81.424999,-90.000000,top
"R23","RC0402JR-0710KL","RC0402N_YAG",182.548300,-81.424999,-90.000000,top
"U2","PCA9685PW","SOT361-1_NXP-M",192.198300,-76.600000,0.000000,top
"U5","AP64501SP-13","SO-8EP_DIO",175.313300,-67.254700,-90.000000,top
